year,ward_no,ward_name,circle,zone,mean_ndvi
2018,106,SERILINGAMPALLY,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.18416264779427238
2018,104,KONDAPUR,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.13766689192101855
2018,109,HAFEEZPET,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.13872748005971464
2018,118,FATEH NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.11947066122249471
2018,143,TARNAKA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.16431736068071232
2018,8,HABSIGUDA,2-UPPAL,L.B.NAGAR ZONE,0.2160710073844628
2018,40,RIYASATNAGAR,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.09645860995039428
2018,36,LALITHABAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.0920566232323917
2018,34,TALABCHANCHALAM,7-SANTOSH NAGAR,CHARMINAR ZONE,0.05120533409418253
2018,22,CHAITHANYAPURI,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.15225869580599083
2018,37,KURMAGUDA,7-SANTOSH NAGAR,CHARMINAR ZONE,0.08665300406841195
2018,31,REIN BAZAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.0632216025079625
2018,29,CHAWANI,6-MALAKPET,CHARMINAR ZONE,0.09431430291928569
2018,38,I.S.SADAN,7-SANTOSH NAGAR,CHARMINAR ZONE,0.14265139500615678
2018,18,LINGOJIGUDA,4-LB. NAGAR,L.B.NAGAR ZONE,0.10956019665291597
2018,16,HASTHINAPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.1361268963112631
2018,20,R.K.PURAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1149554386638262
2018,19,SAROORNAGAR,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.11477048660717501
2018,14,B.N.REDDY NAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.17890043618141446
2018,12,MANSOORABAD,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.1713009750323721
2018,21,KOTHAPET,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.14018813323224807
