year,ward_no,ward_name,mean_tree_prob
2018,41,KANCHANBAGH,0.1357746042756294
2018,7,CHILUKA NAGAR,0.0907696960192016
2018,9,RAMANTHAPUR,0.08200960701749933
2018,25,MOOSARAMBAGH,0.03835152585529689
2018,BANDLA GUDA,,0.05799036876613819
2018,28,AZAMPURA,0.036420665114443175
2018,56,KISHAN BAGH,0.050650795567701454
2018,52,PURANAPOOL,0.0318179419779565
2018,59,MAILARDEVPALLY,0.10244789177572493
2018,46,FALAKNUMA,0.04062733805849192
2018,61,ATTAPUR,0.04653565637217617
2018,60,RAJENDRANAGAR,0.1411317426880199
2018,49,GANSIBAZAR,0.040131543905570624
2018,33,MOGHALPURA,0.0296531433259351
2018,47,NAWABSAHEBKUNTA,0.03610075491816278
2018,58,SHASTRIPURAM,0.036483329908174295
2018,54,JAHANUMA,0.03205710820936144
2018,48,SHALIBANDA,0.03177365691630891
2018,53,DOODBOWLI,0.032772642326378276
2018,55,RAMNASTPURA,0.1165714025751702
2018,43,CHANDRAYANGUTTA,0.05195199700541454
2018,44,UPPUGUDA,0.034475896322521404
2018,35,GOWLIPURA,0.031218194320040814
2018,30,DABEERPURA,0.03738486178411107
2018,32,PATHER GATTI,0.037299895947294666
2018,23,GADDIANNARAM,0.031432894190073384
2018,24,SAIDABAD,0.03415054705833566
2018,27,AKBERBAGH,0.04886551354722353
2018,45,JANGAMMET,0.03867070050401621
2018,42,BARKAS,0.06452945933399896
2018,57,SULEMAN NAGAR,0.0702708126265114
2018,74,AHMED NAGAR,0.08272209150686272
2018,92,VENKATESHWARA COLONY,0.13585822544360046
2018,89,GANDHINAGAR,0.03334952764868586
2018,75,RED HILLS,0.039937148689501115
2018,79,HIMAYATNAGAR,0.03234350508061369
2018,88,BHOLAKPUR,0.031853449634517195
2018,86,MUSHEERABAD,0.04052786672340661
2018,85,ADIKMET,0.033085911470693806
2018,87,RAMNAGAR,0.035640313931207104
2018,90,KAVADIGUDA,0.07419409363203346
2018,93,BANJARA HILLS,0.03814675719770774
2018,91,KHAIRTABAD,0.04289175490419686
2018,103,BORABANDA,0.032718482856271915
2018,97,SOMAJIGUDA,0.03790612103492545
2018,98,AMEERPET,0.04836236415125963
2018,101,ERRAGADDA,0.04832158638859462
2018,100,SANATH NAGAR,0.039582557556626874
2018,99,VENGALRAO NAGAR,0.05998874336472662
2018,102,RAHAMATH NAGAR,0.04178091652381758
2018,6,NACHARAM,0.07505356020308182
2018,84,BAGH AMBERPET,0.04128623207705204
2018,81,NALLAKUNTA,0.03487106340692768
2018,80,KACHIGUDA(Barkathpura),0.03336422694286499
2018,82,GOLNAKA,0.055387697743123424
2018,83,AMBERPET,0.08792470896899224
2018,51,GOSHA MAHAL,0.043979037153395906
2018,68,TOLICHOWKI,0.09155941080796236
2018,67,GOLCONDA,0.09594874743422999
2018,77,JAMBAGH(Nampally),0.03255790062965411
2018,63,MANGALHAT,0.04020098272124022
2018,71,GUDIMALKAPUR,0.04345361204987793
2018,70,MEHDIPATNAM,0.03273958630508795
2018,76,MALLEPALLY,0.03039271599848961
2018,62,ZIAGUDA,0.0438725483045606
2018,72,ASIF NAGAR,0.03071662827388552
2018,73,VIJAYANAGAR COLONY,0.035637136884290106
2018,5,MALLAPUR,0.11315914897245363
2018,3,CHERLAPALLY,0.10047485296258289
2018,96,YOUSUFGUDA,0.05398704717778322
2018,95,JUBILEE HILLS,0.04455413855198458
