year,ward_no,ward_name,circle,zone,mean_ndvi,mean_lst_c
2017,15,VANASTHALIPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.152549220728577,38.476299959733325
2017,26,OLD MALAKPET,6-MALAKPET,CHARMINAR ZONE,0.161165997598491,38.72792741034427
2017,17,CHAMPAPET,4-LB. NAGAR,L.B.NAGAR ZONE,0.1068714099024459,38.40464334026771
2017,39,SANTOSH NAGAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1039005378044827,38.6276580645332
2017,66,LUNGER HOUSE,13-KARWAN,KHAIRATHABAD ZONE,0.2601707236700757,37.59338385976458
2017,112,RAMACHANDRAPURAM,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.192398343043453,38.22163418390723
2017,128,CHINTAL,26-GAJULARAMARAM,KUKATPALLY ZONE,0.2940872304197493,38.07777957224355
2017,126,JAGADGIRI GUTTA,26-GAJULARAMARAM,KUKATPALLY ZONE,0.1546161169838862,38.22093433611467
2017,129,SURARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.2552212485673678,37.75521363962134
2017,133,MACHABOLARUM,27-ALWAL,KUKATPALLY ZONE,0.2588924413846305,37.43707347858137
2017,138,MOULA-ALI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1501151100872285,37.93660509704839
2017,107,MADHAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.1845178818216949,38.83690417470273
2017,OU,,OU,,0.3467330852099846,36.7716436429026
2017,149,BEGUMPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1960256299353346,38.35227181570168
2017,135,VENKATAPURAM,27-ALWAL,KUKATPALLY ZONE,0.1872121600732583,37.628908854481885
2017,123,HYDER NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.1728851285520448,38.60811086602302
2017,122,VIVEKANANDA NAGAR COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.1162907788643919,38.238313420623676
2017,113,PATANCHERUVU,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.2809345091231933,37.79517640409286
2017,108,MIYAPUR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.2313785839596431,38.561037706953904
2017,41,KANCHANBAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.2640761876732576,37.14036762349847
2017,7,CHILUKA NAGAR,2-UPPAL,L.B.NAGAR ZONE,0.2242969254210462,37.51928515333027
2017,9,RAMANTHAPUR,2-UPPAL,L.B.NAGAR ZONE,0.201144662180791,37.62987498964749
2017,25,MOOSARAMBAGH,6-MALAKPET,CHARMINAR ZONE,0.1311456734489225,38.798491511141926
2017,BANDLA GUDA,,BANDLAGUDA,,0.2386360388227248,39.67334518315474
2017,28,AZAMPURA,6-MALAKPET,CHARMINAR ZONE,0.1035598742732516,38.855576384839736
2017,56,KISHAN BAGH,10-FALAKNUMA,CHARMINAR ZONE,0.1481531516485006,37.61439083304074
2017,52,PURANAPOOL,9-CHARMINAR,CHARMINAR ZONE,0.0728175643637758,38.67415542856546
2017,59,MAILARDEVPALLY,11-RAJENDRA NAGAR,CHARMINAR ZONE,0.2140364955841876,37.89151649201401
2017,46,FALAKNUMA,10-FALAKNUMA,CHARMINAR ZONE,0.11136393486049,39.49253827128575
